scenario,method,total_reward_mean,total_reward_std
S1_nominal,Ablation: no shield,-160.44077284666983,6.936303962358869
S1_nominal,AgentTwin (Scheduler+MA),-168.88097013939833,14.304219462027019
S1_nominal,Centralized SAC,-134.7042683044177,10.247581612481767
S1_nominal,Multi-agent SAC,-167.84540641063947,9.807199291766883
S1_nominal,PID (PI controller),-165.0364708895394,6.888393100342311
S2_dynamic_demand,Ablation: no shield,-160.44077284666983,6.936303962358869
S2_dynamic_demand,AgentTwin (Scheduler+MA),-168.88097013939833,14.304219462027019
S2_dynamic_demand,Centralized SAC,-134.7042683044177,10.247581612481767
S2_dynamic_demand,Multi-agent SAC,-167.84540641063947,9.807199291766883
S2_dynamic_demand,PID (PI controller),-165.0364708895394,6.888393100342311
S3_fault_disturbance,Ablation: no shield,-160.44077284666983,6.936303962358869
S3_fault_disturbance,AgentTwin (Scheduler+MA),-168.88097013939833,14.304219462027019
S3_fault_disturbance,Centralized SAC,-134.7042683044177,10.247581612481767
S3_fault_disturbance,Multi-agent SAC,-167.84540641063947,9.807199291766883
S3_fault_disturbance,PID (PI controller),-165.0364708895394,6.888393100342311
